,area_px,area_um2,equivalent_diameter_um,major_axis_um,minor_axis_um,aspect_ratio,roundness,solidity
1,117027.0,26182.333682999997,182.58253645583696,228.1829318233932,170.54591808135785,1.3379559850534797,0.06990999250075966,0.7291311011700788
2,63353.0,14173.903337,134.33828282333403,211.27558158487142,102.59624669106708,2.0592915277013435,0.10310170083557,0.7856177378752743
3,55303.0,12372.884886999998,125.5135304283345,168.85980750978456,114.11027140330944,1.4797949863160809,0.08735792155434842,0.7258945213031266
4,15832.0,3542.077528,67.15588715196435,91.9450011727207,54.730471569622125,1.6799599662823719,0.32695790805267394,0.8441482271394295
6,10787.0,2413.3647229999997,55.432764690139905,89.16382695212411,41.36605242111361,2.1554831010805877,0.22267613313301746,0.8412884105443769
7,17036.0,3811.4472439999995,69.66265393833808,108.82947019870565,52.88207965856279,2.05796502144718,0.17543788922818182,0.7868458731698305
8,19879.0,4447.508790999999,75.2512064239403,96.69336087314635,67.43433764685764,1.4338890874781527,0.17979293839883823,0.7853897514914464
9,41278.0,9235.085662,108.43650798451188,227.50357731393981,69.01153623932814,3.2966021293160344,0.06881870946048833,0.6869248306734785
10,11584.0,2591.676736,57.44410594173568,69.05005972862625,52.83791538315337,1.306827857002131,0.3934004396907331,0.8482718219097832
11,4890.0,1094.0348099999999,37.322491655954856,56.54177617803068,28.811457199865487,1.9624754064259777,0.44096948322237556,0.8918475287251505
12,9405.0,2104.171245,51.76015879060476,76.65401447632426,39.50691383088328,1.940268349090898,0.2960506551646854,0.8280507131537242
13,10823.0,2421.4189669999996,55.525186925900286,83.52400673667117,51.9017162785469,1.6092725390507954,0.17244556288749488,0.6846533400809717
14,27041.0,6049.8558889999995,87.7662563735272,114.9345816082923,85.97633677831237,1.336816453399823,0.09513832698396096,0.6369632299248581
15,7370.0,1648.8827299999998,45.81945761864572,60.4536293320145,37.793198581469234,1.5995901802727048,0.33907665554728667,0.8605791686127977
16,15228.0,3406.9452119999996,65.86241242669844,98.0745135209889,51.08947984296417,1.9196616176646262,0.16920163546783232,0.7499630632849051
17,35141.0,7862.060788999999,100.05142027810766,194.26936569898217,83.66137974375968,2.3220913436282737,0.090091236311474,0.5951058425063506
18,18830.0,4212.81707,73.23882364060282,112.05144978314256,59.60921078836454,1.8797673765715166,0.10243046506666663,0.7066726713202732
19,48445.0,10838.551404999998,117.47370878835339,238.55842832486942,78.49300058557789,3.0392318620152428,0.05014544956122133,0.7093179888137281
20,5274.0,1179.9467459999998,38.76022262176492,47.97799939507784,34.00335314476736,1.4109784758818993,0.42277658141036,0.8322550102572195
21,10008.0,2239.079832,53.39367926937949,77.74974967463123,39.891814018776635,1.949015144762163,0.3734372867948827,0.7866069323272813
