Sample,Sample_Number,GNP_wt_pct,Sintering_Temperature_C,Field,Image_File,Image_Width_px,Image_Height_px,Field_Area_um2,area_px,perimeter_px,major_axis_px,minor_axis_px,centroid_px,bbox_px,area_um2,perimeter_um,major_axis_um,minor_axis_um,centroid_um,bbox_um,eccentricity,solidity,extent,orientation,euler_number,convex_area_px,convex_area_um2,convex_perimeter_px,moments,moments_central,moments_hu,moments_normalized,filled_area_px,filled_area_um2,equivalent_diameter_px,equivalent_diameter_um,mean_intensity,max_intensity,min_intensity,ecd_um,aspect_ratio,shape_factor,grain_boundary_length_um,compactness,elongation,roundness,form_factor,convexity,rectangularity,feret_diameter_max_um,feret_diameter_min_um,feret_diameter_mean_um,hydraulic_diameter_um,sphericity,wadell_sphericity,crofton_ratio,thinness_ratio,curl,fiber_length_um,breadth_um
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,36008.0,2444.4044712321047,348.64128555876994,162.6162270865102,"(np.float64(658.936514107976), np.float64(1265.597033992446))","(455, 1168, 843, 1351)",8056.033831999999,1156.2033148927856,164.90732806929816,76.91747541191933,"(np.float64(311.6769711730726), np.float64(598.627397078427))","(215.21499999999997, 552.4639999999999, 398.739, 639.0229999999999)",0.8845589110757314,0.6728203595052132,0.5071263590783618,-0.14082860804658442,1,53518.0,11973.528622,668.7522298433778,"[[3.60080000e+04 3.51427400e+06 4.06711980e+08 5.18378904e+10]
 [7.34334600e+06 6.86943127e+08 7.67319198e+10 9.53047831e+12]
 [1.76690938e+09 1.61791908e+11 1.76263591e+13 2.14136925e+15]
 [4.73954746e+11 4.28714473e+13 4.58759543e+15 5.47728284e+17]]","[[ 3.60080000e+04 -7.41522399e-11  6.37292610e+07 -2.95566268e+08]
 [-3.20414983e-09 -2.97456622e+07 -4.05326794e+08 -7.24858234e+10]
 [ 2.69332999e+08  1.47924649e+09  3.90485564e+11  3.10648643e+12]
 [ 3.76374003e+09 -5.78771908e+11  4.98289743e+12 -1.35580409e+15]]","[ 2.56878304e-01  2.72511190e-02  7.79764658e-04  2.09471801e-04
  8.18878735e-08  1.98497548e-05 -2.14807612e-08]","[[        nan         nan  0.04915196 -0.00120132]
 [        nan -0.0229417  -0.00164743 -0.00155259]
 [ 0.20772634  0.00601233  0.00836388  0.00035065]
 [ 0.01529756 -0.01239682  0.00056245 -0.00080649]]",36008.0,8056.033831999999,214.11868093845465,101.27813608388904,,,,101.27813608388904,2.143951386679856,0.07572908771745854,1156.2033148927856,13.20496562339362,2.143951386679856,0.07572908771745854,0.07572908771745854,0.6728203595052131,0.5071263590783619,164.90732806929816,76.91747541191933,120.91240174060874,27.8706477597222,0.27518918532067815,0.6141518225395626,3.6338637320892513,3.722641678369202,0.11544108892426863,87.98985265737883,76.91747541191933
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,19818.0,1210.740294838927,197.52081744642905,157.1621180349663,"(np.float64(920.5570188717328), np.float64(1482.1605106468867))","(833, 1408, 1006, 1600)",4433.861322,572.6801594588125,93.42734665216094,74.33768183053907,"(np.float64(435.4234699263296), np.float64(701.0619215359774))","(394.00899999999996, 665.9839999999999, 475.83799999999997, 756.8)",0.6057254956634184,0.7680799937989303,0.5966401734104047,1.3857121695185308,1,25802.0,5772.655658,441.3457161087115,"[[1.98180000e+04 1.46971300e+06 1.56718499e+08 2.00305418e+10]
 [1.73520500e+06 1.31890864e+08 1.43625307e+10 1.86545992e+12]
 [1.83123799e+08 1.37052243e+10 1.47558871e+12 1.90706938e+14]
 [2.14055027e+10 1.55789434e+12 1.63747461e+14 2.08647471e+16]]","[[ 1.98180000e+04  2.76941137e-10  4.77238324e+07  1.32977033e+09]
 [-8.58221938e-10  3.20717512e+06  1.65034660e+08  2.20119471e+10]
 [ 3.11944221e+07 -4.36951575e+08  5.51948695e+10 -1.96097532e+11]
 [-9.08523834e+07  1.14650134e+10  7.71087450e+10  6.02844078e+13]]","[2.00936032e-01 2.03795833e-03 2.39325598e-03 2.62552025e-04
 2.08026114e-07 1.16059109e-05 6.31125520e-09]","[[            nan             nan  1.21511019e-01  2.40506645e-02]
 [            nan  8.16588062e-03  2.98487124e-03  2.82799728e-03]
 [ 7.94250132e-02 -7.90285018e-03  7.09119191e-03 -1.78962791e-04]
 [-1.64318615e-03  1.47297404e-03  7.03710856e-05  3.90810031e-04]]",19818.0,4433.861322,158.84917783092695,75.13566111402844,,,,75.13566111402845,1.2567966117794587,0.16988995258805717,572.6801594588125,5.886163276675712,1.2567966117794587,0.16988995258805717,0.16988995258805717,0.7680799937989303,0.5966401734104043,93.42734665216094,74.33768183053907,83.88251424135001,30.969198068185467,0.41217708886843435,0.8042148664862099,2.426141643984479,6.383280654917046,0.3942745043365816,19.089664821621867,74.33768183053907
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,14914.0,714.288455329568,182.69690451175674,110.50967224895615,"(np.float64(1025.0592061150596), np.float64(1201.1014483036074))","(946, 1115, 1121, 1291)",3336.694306,337.85843937088566,86.41563583406094,52.27107497375626,"(np.float64(484.85300449242317), np.float64(568.1209850476063))","(447.45799999999997, 527.395, 530.233, 610.6429999999999)",0.7963167668733153,0.8358459900240991,0.4842207792207792,-0.7689907262919418,1,17843.0,3991.9965469999997,338.58275374316065,"[[1.49140000e+04 1.28411700e+06 1.31488731e+08 1.50347358e+10]
 [1.17908900e+06 9.16620090e+07 8.63150720e+09 9.24491345e+11]
 [1.14789531e+08 8.27618410e+09 7.18363052e+11 7.11642391e+13]
 [1.26050957e+10 8.64120565e+11 7.01170260e+13 6.44959086e+15]]","[[ 1.49140000e+04  4.09272616e-12  2.09243975e+07  1.10123786e+08]
 [ 5.88215698e-10 -9.85926158e+06 -6.60940827e+07 -2.77968381e+10]
 [ 2.15716907e+07 -4.84299856e+07  2.38334202e+10  1.09026029e+11]
 [ 1.19045056e+08 -2.48381795e+10  7.15188147e+09 -4.85823774e+13]]","[ 1.91055998e-01  7.86755801e-03  2.24885545e-04  8.95831234e-06
 -3.99163812e-10 -7.88937325e-07  4.83966576e-11]","[[            nan             nan  9.40729329e-02  4.05411240e-03]
 [            nan -4.43257519e-02 -2.43319678e-03 -8.37940114e-03]
 [ 9.69830655e-02 -1.78290824e-03  7.18462251e-03  2.69122933e-04]
 [ 4.38254129e-03 -7.48750878e-03  1.76539065e-05 -9.81979018e-04]]",14914.0,3336.694306,137.80092369131717,65.17983690599301,,,,65.17983690599301,1.6532209425087898,0.3673302893943842,337.85843937088566,2.7223456079505324,1.6532209425087898,0.3673302893943842,0.3673302893943842,0.8358459900240991,0.4842207792207797,86.41563583406094,52.27107497375626,69.34335540390859,39.50405160472701,0.606077791537014,0.7542597618694165,1.6499532138671487,5.614894811962962,0.20368323312668468,34.14456086030468,52.27107497375626
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,31023.0,2609.529362913133,266.9796160837608,244.4167562355014,"(np.float64(955.3862940399059), np.float64(301.0806176062921))","(834, 134, 1089, 448)",6940.744766999999,1234.3073886579118,126.28135840761885,115.60912569939215,"(np.float64(451.89771708087545), np.float64(142.41113212777614))","(394.48199999999997, 63.382, 515.097, 211.904)",0.40234424169728156,0.5260810581651687,0.38744848257774445,-0.5700909288924583,1,58970.0,13193.29913,588.1470326873604,"[[3.10230000e+04 5.18334200e+06 9.88384036e+08 2.05278404e+11]
 [3.76576700e+06 6.19021600e+08 1.11954493e+11 2.17430189e+13]
 [5.88799513e+08 9.55523847e+10 1.66652016e+13 3.08407781e+15]
 [1.04756676e+11 1.68155479e+13 2.86726211e+15 5.14908955e+17]]","[[ 3.10230000e+04  1.51339918e-09  1.22348053e+08 -7.45388247e+08]
 [ 1.29512046e-09 -1.01650761e+07 -4.62500763e+09 -5.41564420e+09]
 [ 1.31687013e+08 -3.56799700e+08  4.92257834e+11 -9.04429325e+11]
 [ 1.31448832e+09 -1.07994487e+11 -2.11080955e+13 -7.23037725e+14]]","[ 2.63952685e-01  5.40375968e-04  8.03280866e-03  4.23669348e-04
 -4.31736300e-07 -2.07393471e-06  6.51516254e-07]","[[        nan         nan  0.12712456 -0.00439717]
 [        nan -0.01056192 -0.02728368 -0.00018138]
 [ 0.13682812 -0.00210482  0.01648699 -0.00017198]
 [ 0.00775438 -0.00361701 -0.0040138  -0.0007806 ]]",31023.0,6940.744766999999,198.7453405650531,94.00654608727012,,,,94.00654608727012,1.0923130647659833,0.0572491813710443,1234.3073886579118,17.467498679479522,1.0923130647659833,0.0572491813710443,0.0572491813710443,0.5260810581651687,0.38744848257774445,126.28135840761885,115.60912569939215,120.9452420535055,22.49275935890432,0.2392680115916967,0.744421403702595,4.179413676519653,5.4693718171190095,0.5976557583027184,10.672232708226701,115.60912569939215
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,28197.0,2578.2450916656708,272.5751660831078,208.02140561486607,"(np.float64(1068.9868780366705), np.float64(465.8082420115615))","(962, 339, 1200, 635)",6308.486612999999,1219.5099283578622,128.92805355730997,98.39412485583165,"(np.float64(505.63079331134514), np.float64(220.32729847146857))","(455.02599999999995, 160.34699999999998, 567.6, 300.35499999999996)",0.6461968283103083,0.6156012575320933,0.40025266863502157,1.5672043854760251,1,45804.0,10247.683115999998,488.4716022171321,"[[2.81970000e+04 3.57561200e+06 5.84351288e+08 1.11740591e+11]
 [3.01670900e+06 3.82739951e+08 6.25787412e+10 1.19249423e+13]
 [3.99009365e+08 4.87603265e+10 7.65507510e+12 1.40707769e+15]
 [6.02841563e+10 7.01598903e+12 1.03828880e+15 1.80660223e+17]]","[[ 2.81970000e+04 -5.82076609e-10  1.30934216e+08  4.43295619e+09]
 [ 8.53788151e-10  1.96386050e+05  1.10145158e+07 -4.34987166e+10]
 [ 7.62610871e+07 -1.87937109e+09  2.03799889e+11 -7.91592323e+12]
 [ 1.27751880e+09 -3.20783377e+10  2.17646721e+12 -1.92960985e+14]]","[2.60599812e-01 4.72888395e-03 5.77720724e-03 4.58984452e-04
 3.42886916e-08 1.89337427e-05 7.46617944e-07]","[[            nan             nan  1.64682459e-01  3.32036768e-02]
 [            nan  2.47004477e-04  8.25007978e-05 -1.94029485e-03]
 [ 9.59173526e-02 -1.40768434e-02  9.09065615e-03 -2.10276824e-03]
 [ 9.56885644e-03 -1.43087976e-03  5.78151908e-04 -3.05251558e-04]]",28197.0,6308.486612999999,189.47700505047408,89.62262338887423,,,,89.62262338887425,1.3103226818289915,0.053304560765496785,1219.5099283578622,18.76012081591496,1.3103226818289915,0.053304560765496785,0.053304560765496785,0.6156012575320933,0.40025266863502135,128.92805355730997,98.39412485583165,113.66108920657081,20.691874551590494,0.23087780483514822,0.6951367131982333,4.331295512420615,4.769141384508343,0.35380317168969166,30.533928701478317,98.39412485583165
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,11932.0,715.2762620207483,164.30835777450181,104.0143131535928,"(np.float64(892.0717398592021), np.float64(1341.9549949715051))","(808, 1266, 998, 1406)",2669.534428,338.32567193581394,77.71785322733936,49.19877012164939,"(np.float64(421.9499329534026), np.float64(634.7447126215219))","(382.18399999999997, 598.818, 472.054, 665.038)",0.7741163463430852,0.7834022716827522,0.44857142857142857,-0.3216315693572082,1,15231.0,3407.6163989999995,328.63950238733753,"[[1.19320000e+04 9.06295000e+05 7.81115170e+07 7.30111992e+09]
 [1.00314400e+06 7.25754650e+07 5.94687628e+09 5.28952094e+11]
 [1.03263618e+08 7.36779687e+09 5.88241828e+11 5.06332609e+13]
 [1.19528149e+10 8.54819712e+11 6.75319482e+13 5.70892465e+15]]","[[ 1.19320000e+04 -4.45083970e-11  9.27388483e+06 -4.06357176e+07]
 [-4.87261786e-10 -3.61833248e+06 -7.04340022e+07 -6.19208702e+09]
 [ 1.89275566e+07  1.32808296e+08  1.10390123e+10  1.90177220e+11]
 [ 8.87176249e+07 -9.82881071e+09 -1.67465102e+11 -1.46672244e+13]]","[ 1.98081911e-01  7.18120158e-03  1.16920772e-03  3.65088519e-05
 -7.54244107e-09 -2.99640744e-06  9.03753462e-11]","[[        nan         nan  0.06513812 -0.00261291]
 [        nan -0.02541452 -0.00452897 -0.003645  ]
 [ 0.13294379  0.00853969  0.00649816  0.00102485]
 [ 0.00570462 -0.00578577 -0.00090246 -0.00072359]]",11932.0,2669.534428,123.25702514574965,58.30057289393958,,,,58.30057289393959,1.5796706510177672,0.29307278013947663,338.32567193581394,3.4121217245903517,1.5796706510177672,0.29307278013947663,0.29307278013947663,0.7834022716827523,0.4485714285714284,77.71785322733936,49.19877012164939,63.458311674494375,31.561712863532925,0.5413619677623066,0.7501567590061891,1.8471929310687476,5.553973442208453,0.22588365365691476,28.519083105689973,49.19877012164939
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,17835.0,1689.8439379638949,239.00705798675853,137.62124366100156,"(np.float64(1092.2723296888141), np.float64(1278.1471264367817))","(974, 1179, 1200, 1387)",3990.206715,799.2961826569223,113.05033842773678,65.09484825165373,"(np.float64(516.644811942809), np.float64(604.5635908045978))","(460.702, 557.6669999999999, 567.6, 656.0509999999999)",0.8175876953942646,0.6109132013427416,0.37940350578624915,-0.7615684446906992,1,29194.0,6531.5444259999995,529.8806937549788,"[[1.78350000e+04 1.76828900e+06 2.16700651e+08 2.97590553e+10]
 [2.10938700e+06 1.87881784e+08 2.22302924e+10 3.05044146e+12]
 [2.92889805e+08 2.34289393e+10 2.66114589e+12 3.63000284e+14]
 [4.52258884e+10 3.24274151e+12 3.49742088e+14 4.70219391e+16]]","[[ 1.78350000e+04  8.51514415e-11  4.13798779e+07  6.84164932e+07]
 [-1.68688530e-09 -2.12578756e+07  8.15916082e+08 -8.50140581e+10]
 [ 4.34076903e+07 -5.81806305e+08  1.22636827e+11 -3.91147984e+12]
 [ 3.17271528e+08 -1.42753175e+11  5.08861852e+12 -6.12181409e+14]]","[ 2.66554459e-01  1.79058152e-02  4.33847239e-03  8.57662687e-04
  6.60458641e-07  8.97874655e-05 -1.51686104e-06]","[[        nan         nan  0.13008972  0.00161056]
 [        nan -0.06683033  0.01920714 -0.01498551]
 [ 0.13646474 -0.01369606  0.02161731 -0.0051628 ]
 [ 0.00746876 -0.02516323  0.00671652 -0.00605045]]",17835.0,3990.206715,150.6924924485345,71.27754892815682,,,,71.27754892815682,1.7367017738591124,0.0784855636429264,799.2961826569223,12.741196642857085,1.7367017738591124,0.0784855636429264,0.0784855636429264,0.6109132013427416,0.37940350578624893,113.05033842773678,65.09484825165373,89.07259333969526,19.96860138496468,0.2801527505539191,0.6304939013846327,3.569481284844772,3.9233904045817645,0.18241230460573543,47.955490176083046,65.09484825165373
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,7303.0,967.668181006535,193.2901057798038,84.4508333210219,"(np.float64(727.4724085992058), np.float64(1384.0718882650965))","(644, 1336, 812, 1443)",1633.892887,457.707049616091,91.4262200338472,39.94524416084336,"(np.float64(344.0944492674243), np.float64(654.6660031493906))","(304.61199999999997, 631.928, 384.07599999999996, 682.539)",0.899504087294908,0.5478619654913729,0.40626390743213175,0.19554630991783103,1,13330.0,2982.30757,280.00149669600455,"[[7.30300000e+03 3.51069000e+05 2.06527470e+07 1.38849177e+09]
 [6.09599000e+05 3.19344090e+07 2.05932028e+09 1.50893184e+11]
 [6.74167770e+07 3.78292054e+09 2.58078232e+11 1.97487144e+13]
 [8.52940416e+09 5.00668895e+11 3.52700202e+13 2.75908889e+15]]","[[7.30300000e+03 3.58966190e-11 3.77619726e+06 3.26173555e+07]
 [2.27288410e-10 2.62983399e+06 8.25435757e+07 4.85645478e+09]
 [1.65320802e+07 1.03031616e+08 1.00764125e+10 2.28385663e+11]
 [1.42018298e+08 9.87220639e+09 3.99508358e+11 1.83917181e+13]]","[3.80776806e-01 6.69280995e-02 4.21664277e-03 3.31331653e-03
 1.18110976e-05 6.57964606e-04 3.72469212e-06]","[[       nan        nan 0.07080307 0.00715641]
 [       nan 0.04930895 0.01811048 0.01246854]
 [0.30997374 0.02260566 0.02587033 0.00686142]
 [0.03115954 0.02534605 0.01200249 0.00646572]]",7303.0,1633.892887,96.42856628199391,45.610711851383115,,,,45.61071185138312,2.2887886143769895,0.09800725896332499,457.707049616091,10.203325861548755,2.2887886143769895,0.09800725896332499,0.09800725896332499,0.5478619654913729,0.4062639074321318,91.4262200338472,39.94524416084336,65.68573209734528,14.278940106956652,0.31306111058917074,0.49887999125959087,3.1942645259196607,2.4563594377037323,0.10049591270509195,51.48097587300384,39.94524416084336
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,5272.0,353.8061325481598,124.14711696121161,61.78739036354557,"(np.float64(681.0935128983308), np.float64(1431.7583459787556))","(611, 1406, 744, 1476)",1179.499288,167.35030069527957,58.72158632265309,29.225435641957052,"(np.float64(322.15723160091045), np.float64(677.2216976479514))","(289.003, 665.038, 351.912, 698.1479999999999)",0.8673521541077588,0.8236213091704421,0.5662728249194414,0.00010604265972846013,1,6401.0,1432.089329,216.20100577448446,"[[5.27200000e+03 1.35798000e+05 4.75585800e+06 1.94174472e+08]
 [3.69533000e+05 9.51896400e+06 3.45347438e+08 1.47795895e+10]
 [3.09802870e+07 7.94920336e+08 2.92104167e+10 1.27491558e+12]
 [2.84491314e+09 7.18563454e+10 2.63242055e+12 1.15526062e+14]]","[[ 5.27200000e+03 -1.10986775e-11  1.25792613e+06  6.86724312e+06]
 [-1.11640475e-10  4.05135432e+02  1.19717727e+07  2.43293018e+08]
 [ 5.07842090e+06 -3.13740980e+06  9.55330451e+08  2.63675873e+09]
 [-3.85327229e+07 -7.70146815e+08  7.65440945e+09  7.84049937e+09]]","[2.27975487e-01 1.88945969e-02 1.42598385e-03 1.76640729e-04
 7.14340533e-08 2.33401193e-05 5.25027187e-08]","[[            nan             nan  4.52589356e-02  3.40285873e-03]
 [            nan  1.45763714e-05  5.93225701e-03  1.66036451e-03]
 [ 1.82716551e-01 -1.55465041e-03  6.51969706e-03  2.47831489e-04]
 [-1.90937484e-02 -5.25590273e-03  7.19445307e-04  1.01494409e-05]]",5272.0,1179.499288,81.92996326035902,38.752872622149816,,,,38.752872622149816,2.009262994127976,0.5292423059344811,167.35030069527957,1.8894936946401213,2.009262994127976,0.5292423059344811,0.5292423059344811,0.8236213091704422,0.5662728249194433,58.72158632265309,29.225435641957052,43.97351098230507,28.192343440068164,0.727490416386691,0.659942536450179,1.3745885546737688,4.29845108159898,0.1326478458922412,29.496150680696037,29.225435641957052
S1,1,0,500,1,100x1.tiff,1600,1200,429559.68,6573.0,415.0020920410531,113.54083699184277,78.62998637017266,"(np.float64(610.6304579339724), np.float64(1382.493077742279))","(559, 1345, 678, 1433)",1470.5707169999998,196.2959895354181,53.70481589714163,37.19198355309167,"(np.float64(288.8282066027689), np.float64(653.9192257720979))","(264.407, 636.185, 320.69399999999996, 677.809)",0.7213928763808323,0.8618067392159433,0.6276737967914439,-0.5330479567486804,1,7627.0,1706.3810829999998,269.1080029072481,"[[6.57300000e+03 2.46442000e+05 1.24914840e+07 7.19227588e+08]
 [3.39367000e+05 1.15176890e+07 5.58696415e+08 3.12329078e+10]
 [2.21059770e+07 6.86890383e+08 3.19992435e+10 1.74059323e+12]
 [1.62688336e+09 4.63443732e+10 2.07451937e+12 1.09870249e+14]]","[[ 6.57300000e+03  8.24229573e-12  3.25161494e+06  7.05730418e+06]
 [-2.32091679e-10 -1.20622431e+06  4.20549978e+06 -1.28729303e+09]
 [ 4.58430338e+06 -1.73749038e+07  2.46492156e+09 -1.28931373e+10]
 [ 1.21622755e+07 -2.31495663e+09  2.33414926e+10 -2.45177013e+12]]","[1.81368823e-01 4.06938269e-03 2.85487386e-04 3.05117921e-05
 2.83084756e-09 1.94303641e-06 3.09398315e-10]","[[        nan         nan  0.07526132  0.00201479]
 [        nan -0.02791906  0.00120063 -0.00453301]
 [ 0.1061075  -0.00496036  0.00867985 -0.00056   ]
 [ 0.00347221 -0.00815177  0.00101381 -0.00131349]]",6573.0,1470.5707169999998,91.48225799325367,43.27110803080898,,,,43.27110803080898,1.443989020388704,0.47959309788631566,196.2959895354181,2.0851008999238005,1.443989020388704,0.47959309788631566,0.47959309788631566,0.8618067392159434,0.6276737967914436,53.70481589714163,37.19198355309167,45.448399725116644,29.96639351584229,0.692526604461024,0.8057211873453612,1.443987846182855,6.407215237722029,0.27860712361916773,16.51283234404996,37.19198355309167
