Sample 7 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\7\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 170

Equivalent diameter statistics (µm):
count    170.000000
mean      35.633360
std       13.880803
min       12.252410
25%       26.312605
50%       33.926086
75%       42.950613
max       90.019052
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
    Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1        7  28447.0  6364.418863               90.019052      98.545691      90.654412      1.087048   0.252399  0.775313
2        7  13238.0  2961.724502               61.408344      85.579722      48.267359      1.773035   0.465074  0.847395
3        7  10731.0  2400.835899               55.288690      81.312131      44.137098      1.842263   0.343979  0.820099
4        7  13856.0  3099.989024               62.825382      94.700565      51.793995      1.828408   0.195026  0.680249
5        7  14149.0  3165.541621               63.486162     103.310806      45.692499      2.261001   0.278010  0.748189
6        7  19190.0  4293.359510               73.935615      96.624079      64.717546      1.493012   0.152909  0.674967
7        7  13529.0  3026.829641               62.079620      72.948852      59.433816      1.227396   0.213369  0.802813
8        7   7033.0  1573.486057               44.759632      69.098130      31.942988      2.163171   0.377162  0.809042
9        7   7298.0  1632.774242               45.595095      60.262722      38.750796      1.555135   0.385405  0.790169
10       7   7031.0  1573.038599               44.753267      64.331916      33.657415      1.911374   0.400091  0.828444
11       7   8253.0  1846.435437               48.486644      72.823615      37.569676      1.938362   0.369047  0.746203
12       7   1163.0   260.196827               18.201453      45.054303       7.652029      5.887890   0.404662  0.964345
13       7   7247.0  1621.364063               45.435502      49.645830      42.901492      1.157205   0.672139  0.913411
14       7  19142.0  4282.620518               73.843089     118.483596      89.907456      1.317839   0.072427  0.501257
15       7   7860.0  1758.509940               47.318119      56.522171      43.732044      1.292466   0.367036  0.831834
16       7   9434.0  2110.659386               51.839898      64.092272      47.679999      1.344217   0.390933  0.803851
17       7   7532.0  1685.126828               46.320299      65.348912      40.948078      1.595897   0.245269  0.657243
18       7  12152.0  2718.754808               58.835586      72.522062      60.303971      1.202608   0.167331  0.702550
19       7   2071.0   463.342759               24.288811      34.328971      19.835617      1.730673   0.480227  0.906743
20       7   1713.0   383.247777               22.089958      40.604057      12.541604      3.237549   0.570285  0.962360
21       7  12252.0  2741.127708               59.077172      94.756575      48.916786      1.937097   0.226167  0.642509
22       7   4831.0  1080.834799               37.096652      50.321336      28.648910      1.756483   0.621116  0.891164
23       7   4030.0   901.627870               33.881975      54.053782      22.025643      2.454130   0.547808  0.874946
24       7   1135.0   253.932415               17.981012      42.605463       8.319809      5.120967   0.398808  0.838257
25       7    775.0   173.389975               14.858229      38.484403       5.936962      6.482171   0.378604  0.950920
26       7   3158.0   706.536182               29.993163      50.693881      22.173490      2.286238   0.359930  0.794665
27       7   5020.0  1123.119580               37.815344      60.236978      29.356152      2.051937   0.345657  0.755114
28       7  11209.0  2507.778361               56.506660      82.132896      55.748628      1.473272   0.176571  0.599572
29       7   5920.0  1324.475680               41.065494      55.886268      35.608475      1.569465   0.387471  0.788492
30       7   7830.0  1751.798070               47.227731      58.473593      45.190259      1.293942   0.394864  0.818866
31       7   6156.0  1377.275724               41.876030      72.668037      32.568404      2.231243   0.296506  0.733381
