Sample 3 Grain Analysis Report
====================================

Image used: C:\Users\HP\PycharmProjects\Microstructure\Optical microstructure\100 x\3\100x1.tiff
Scale: 0.473 µm/pixel
Minimum area filter: 500 pixels

Filtered grain count: 174

Equivalent diameter statistics (µm):
count    174.000000
mean      33.142224
std       12.278954
min       12.159057
25%       24.925413
50%       30.468668
75%       39.878551
max       79.282622
Name: equivalent_diameter_um, dtype: float64

Detailed filtered grain table:
    Sample  area_px     area_um2  equivalent_diameter_um  major_axis_um  minor_axis_um  aspect_ratio  roundness  solidity
1        3  21147.0  4731.197163               77.614092      93.752001      74.090430      1.265373   0.118882  0.666761
2        3  22066.0  4936.804114               79.282622     170.414681      62.269116      2.736745   0.066486  0.519481
3        3   8531.0  1908.632099               49.296510      53.238626      46.854251      1.136260   0.481957  0.878036
4        3   9520.0  2129.900080               52.075647      61.164681      47.068032      1.299495   0.377928  0.862788
5        3   5204.0  1164.285716               38.502138      48.244063      32.423534      1.487934   0.543734  0.868346
6        3   7786.0  1741.953994               47.094848      74.493416      37.936812      1.963618   0.147106  0.693075
7        3   8945.0  2001.255905               50.478492      85.054655      49.113307      1.731805   0.109407  0.585866
8        3   8547.0  1912.211763               49.342716      97.297190      34.505952      2.819722   0.106355  0.648581
9        3  15379.0  3440.728291               66.188151      99.302113      59.622025      1.665527   0.082286  0.582119
10       3   7724.0  1728.082796               46.906965      92.523780      35.368721      2.615978   0.153399  0.567232
11       3   9632.0  2154.957728               52.381079      81.339466      61.212269      1.328810   0.073831  0.523848
12       3   5732.0  1282.414628               40.408180      56.371977      33.993692      1.658307   0.284665  0.729633
13       3   5425.0  1213.729825               39.311179      84.627082      27.847946      3.038899   0.165892  0.587185
14       3   3711.0   830.258319               32.513347      43.279782      28.743692      1.505714   0.291312  0.767053
15       3   1958.0   438.061382               23.616881      27.267285      21.887929      1.245768   0.660185  0.897342
16       3   4170.0   932.949930               34.465472      41.459152      37.925809      1.093165   0.269268  0.704154
17       3   2389.0   534.488581               26.087008      37.858545      18.788494      2.014986   0.534047  0.913226
19       3  11146.0  2493.683434               56.347638      66.147640      62.535190      1.057767   0.128379  0.686499
20       3   4096.0   916.393984               34.158294      50.207824      26.705895      1.880028   0.273900  0.757537
21       3   3536.0   791.105744               31.737472      49.942774      21.740759      2.297196   0.368173  0.777827
22       3   4709.0  1053.539861               36.625246      51.299749      30.223011      1.697374   0.287422  0.753319
23       3   4807.0  1075.465303               37.004391      58.857691      29.405870      2.001563   0.220989  0.677710
24       3   1813.0   405.620677               22.725587      27.880667      18.864258      1.477963   0.752856  0.949712
25       3   1126.0   251.918854               17.909580      31.764563      10.532803      3.015775   0.577524  0.959932
26       3   6199.0  1386.896071               42.022029      59.911440      37.576227      1.594397   0.147161  0.695345
27       3   5407.0  1209.702703               39.245908      86.335071      32.402956      2.664420   0.137718  0.504055
28       3   4745.0  1061.594105               36.764978      61.403216      39.642759      1.548914   0.149930  0.532189
29       3   7224.0  1616.218296               45.363345      70.922636      51.746330      1.370583   0.096882  0.561698
30       3   6813.0  1524.265677               44.054005      90.150513      46.101049      1.955498   0.116828  0.530856
31       3   2794.0   625.098826               28.211709      34.933849      24.586417      1.420860   0.611054  0.873671
32       3   4394.0   983.065226               35.379055      46.034187      35.426316      1.299435   0.181695  0.739731
33       3   8669.0  1939.506701               49.693628      92.506709      55.430418      1.668880   0.077084  0.460309
34       3   6464.0  1446.184256               42.910826      57.664637      42.745148      1.349034   0.188779  0.684021
35       3   5439.0  1216.862031               39.361871      54.538207      32.880244      1.658692   0.247482  0.730754
36       3   3378.0   755.756562               31.020302      37.753567      33.163047      1.138423   0.217367  0.681461
37       3   3112.0   696.244648               29.773918      45.371355      22.811150      1.988999   0.361066  0.745568
38       3   1305.0   291.966345               19.280640      21.647104      18.708081      1.157099   0.668622  0.903114
39       3   1248.0   279.213792               18.854868      24.124706      16.635759      1.450172   0.437606  0.803606
40       3   4870.0  1089.560230               37.246089      54.832465      33.047445      1.659204   0.214307  0.702033
41       3   4801.0  1074.122929               36.981290      49.626139      32.306056      1.536125   0.234616  0.773980
42       3   5333.0  1193.146757               38.976424      67.043595      36.158359      1.854166   0.196539  0.652115
43       3   5804.0  1298.523116               40.661173      69.832369      33.603631      2.078120   0.181577  0.653456
44       3   8809.0  1970.828761               50.093284     112.830151      38.610826      2.922241   0.075730  0.470566
45       3  11573.0  2589.215717               57.416825     133.987702      41.062567      3.263013   0.055375  0.524924
46       3   7385.0  1652.238665               45.866062      87.085230      33.733463      2.581568   0.117595  0.619443
